"id","text","traditional","english","russian"
"#索引","中文","繁体","英语","俄语"
"App_Name","鱼蛋喊话","魚蛋喊話","Fish Sound","Рогатка Юдан"
"Login_Tip","提醒：为了您更好的使用本软件，请完成以下设置","提醒：為了您更好的使用本軟件，請完成以下設置","Reminder: For better use of this software, please complete the following settings","Напоминание: Для лучшего использования этого программного обеспечения выполните следующие настройки"
"App_Desc","支持车外喊话、实时喊话、模拟声浪","支持車外喊話、實時喊話、模擬聲浪","Support external shouting, real-time shouting, simulated sound waves","Поддержка наружного оповещения, реального оповещения, имитации звуковых волн"
"Setting_Car","车型设置","車型設置","Car Model Settings","Настройки модели автомобиля"
"Setting_Log","日志权限","日誌權限","Log Permission","Права на журналы"
"Setting_Activate","激活软件","激活軟件","Activate Software","Активировать программное обеспечение"
"Setting_Language","语言","語言","Language","Язык"
"Setting_InnerSpeaker","车内音响","車內音響","Inner Speaker","Внутренняя扬声器"
"Setting_OuterSpeaker","车外音响","車外音響","Outer Speaker","Внешняя扬声器"
"Setting_SpeakerUnKnown","未设置","未設置","Not Set","Не задано"
"Login_Helper","*如果不会操作，请查看相关视频教程","*如果不會操作，請查看相關視頻教程","*If you don't know how to operate, please check the relevant video tutorial","*Если вы не знаете, как управлять, обратитесь к соответствующему видеоруководству"
"CheckUpdateBtn","检查更新","檢查更新","Check for Updates","Проверить наличие обновлений"
"Car_Deepal","深蓝汽车","深藍汽車","Deepal Auto","Автомобиль Deepal"
"Car_OuShang","欧尚汽车","歐尚汽車","Oushang Auto","Автомобиль Oushang"
"Car_Jili","吉利汽车","吉利汽車","Geely Auto","Автомобиль Geely"
"Car_Mazda","马自达","馬自達","Mazda","Мазда"
"Car_QiYuan","启源汽车","啟源汽車","QiYuan Auto","Автомобиль QiYuan"
"Car_YiPai007","东风奕派","東風奕派","YiPai Auto","Автомобиль YiPai"
"Car_UnKnown","未设置","未設置","Not Set","Не задано"
"Log_Granted","日志权限：已授予","日誌權限：已授予","Log Permission: Granted","Права на журналы: Предоставлено"
"Log_Denied","日志权限：未授予","日誌權限：未授予","Log Permission: Denied","Права на журналы: Отказано"
"Setting_Finish","设置完毕","設置完畢","Settings Completed","Настройки завершены"
"ActivateBtn","激活","激活","Activate","Активировать"
"Activate_RefreshBtn","刷新状态","刷新狀態","Refresh Status","Обновить статус"
"Activate_NO","激活状态: 未激活","激活狀態: 未激活","Activation Status: Not Activated","Статус активации: Не активировано"
"Activate_Status","激活状态:{0}","激活狀態:{0}","Activation Status: {0}","Статус активации: {0}"
"Activate_YES","已激活","已激活","Activated","Активировано"
"Activate_NOT","未激活","未激活","Not Activated","Не активировано"
"Activate_UnUsed","未使用","未使用","Not Used","Не используется"
"Activate_Expired","已过期","已過期","Expired","Просрочено"
"Activate_Unknown","未知","未知","Unknown","Неизвестно"
"Activate_Time_Unknown","剩余时间: 未知","剩餘時間: 未知","Remaining Time: Unknown","Оставшееся время: Неизвестно"
